team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
DIGNITAS,joreuz,0.954,0.968,45.45,1.061,405.73,0.8,0.55,0.844,0.45,1.336,2.32,0.919,2.55,0.853,21.43,1.059,1.5
TEAM SECRET,kv1.exe,0.832,0.752,35.29,0.985,376.76,0.597,0.41,0.882,0.47,1.186,2.06,1.059,2.94,0.557,14.0,1.122,1.59
GEEKAY ESPORTS,oaly.,0.896,0.926,43.48,0.853,326.35,0.946,0.65,0.9,0.48,0.628,1.09,1.142,3.17,0.818,20.55,0.734,1.04
TWISTED MINDS,rise.,1.069,1.243,58.33,1.014,387.79,1.092,0.75,0.863,0.46,1.008,1.75,1.29,3.58,0.833,20.93,0.791,1.12
LUMINOSITY,sosa,0.91,0.785,36.84,0.89,340.42,1.15,0.79,0.6,0.32,0.846,1.47,0.948,2.63,1.194,30.0,0.522,0.74
DIGNITAS,stizzy,0.983,0.968,45.45,1.027,392.73,0.859,0.59,1.107,0.59,1.1,1.91,1.099,3.05,0.772,19.4,0.544,0.77
TEAM SECRET,swiftt./,0.923,0.752,35.29,0.954,364.82,1.193,0.82,0.657,0.35,0.846,1.47,1.146,3.18,1.032,25.93,1.659,2.35
TEAM FALCONS,trk511,1.093,1.249,58.62,1.0,382.76,0.902,0.62,1.482,0.79,0.956,1.66,1.005,2.79,0.884,22.22,0.656,0.93
FURIA,yANXNZ^^,1.165,1.168,54.84,1.136,434.48,0.946,0.65,1.688,0.9,1.261,2.19,0.987,2.74,0.936,23.53,0.706,1.0
TEAM VITALITY,zen,1.118,1.193,56.0,1.191,455.56,1.223,0.84,0.9,0.48,1.059,1.84,1.484,4.12,0.811,20.39,1.864,2.64
Average,,1.0,,46.946,,382.573,,0.687,,0.533,,1.737,,2.776,,25.129,,1.417
